algo,n,run,elapsed_ns,comparisons,swaps,max_depth
mergesort,100,1,752400,649,370,3
quicksort,100,1,950200,854,560,2
select,100,1,1785400,557,636,0
closest,100,1,7512800,0,0,0
mergesort,100,2,37300,654,392,3
quicksort,100,2,37700,665,527,2
select,100,2,52100,569,640,0
closest,100,2,608700,0,0,0
mergesort,100,3,34500,625,353,3
quicksort,100,3,34900,669,438,2
select,100,3,46800,566,645,0
closest,100,3,598900,0,0,0
mergesort,200,1,82300,1518,772,4
quicksort,200,1,74300,1639,1121,3
select,200,1,81800,1128,1282,0
closest,200,1,1003300,0,0,0
mergesort,200,2,77300,1512,777,4
quicksort,200,2,75500,1638,1079,2
select,200,2,90700,1267,1452,0
closest,200,2,1045100,0,0,0
mergesort,200,3,79300,1514,773,4
quicksort,200,3,89100,1899,1323,3
select,200,3,121600,1183,1345,0
closest,200,3,957900,0,0,0
mergesort,300,1,118000,2251,853,5
quicksort,300,1,122400,2754,1889,3
select,300,1,129100,1746,1999,0
closest,300,1,1080200,0,0,0
mergesort,300,2,128500,2258,870,5
quicksort,300,2,131400,2871,2083,3
select,300,2,135200,1996,2291,0
closest,300,2,887500,0,0,0
mergesort,300,3,123100,2306,918,5
quicksort,300,3,146600,2786,2081,4
select,300,3,137900,2016,2309,0
closest,300,3,690200,0,0,0
mergesort,400,1,231600,3421,1530,5
quicksort,400,1,232200,3751,2786,3
select,400,1,223400,2518,2862,0
closest,400,1,917700,0,0,0
mergesort,400,2,182700,3406,1542,5
quicksort,400,2,179700,4016,2617,3
select,400,2,100700,2601,2971,0
closest,400,2,696300,0,0,0
mergesort,400,3,197900,3351,1460,5
quicksort,400,3,163700,3583,2354,3
select,400,3,97900,2533,2898,0
closest,400,3,548600,0,0,0
mergesort,500,1,139500,4729,2343,5
quicksort,500,1,155700,4803,3428,4
select,500,1,128500,3582,4073,0
closest,500,1,655600,0,0,0
mergesort,500,2,148300,4702,2362,5
quicksort,500,2,54800,5066,3202,4
select,500,2,118500,3268,3733,0
closest,500,2,553000,0,0,0
mergesort,500,3,40000,4562,2196,5
quicksort,500,3,48500,4949,3197,4
select,500,3,134200,3560,4098,0
closest,500,3,562400,0,0,0
mergesort,600,1,44500,5164,1773,6
quicksort,600,1,114100,6536,3911,3
select,600,1,86300,4136,4714,0
closest,600,1,665800,0,0,0
mergesort,600,2,37800,5142,1785,6
quicksort,600,2,48000,5758,3713,4
select,600,2,79200,4175,4760,0
closest,600,2,672200,0,0,0
mergesort,600,3,36900,5162,1777,6
quicksort,600,3,55600,6480,4515,3
select,600,3,251100,4293,4865,0
closest,600,3,701600,0,0,0
mergesort,700,1,43500,6399,2424,6
quicksort,700,1,43000,7089,4750,4
select,700,1,179600,4740,5422,0
closest,700,1,742200,0,0,0
mergesort,700,2,43100,6256,2306,6
quicksort,700,2,45200,7563,4850,4
select,700,2,193600,5042,5752,0
closest,700,2,617900,0,0,0
mergesort,700,3,46300,6331,2357,6
quicksort,700,3,46700,7883,5017,4
select,700,3,189700,5058,5794,0
closest,700,3,718400,0,0,0
mergesort,800,1,52000,7546,2964,6
quicksort,800,1,83900,8643,5791,4
select,800,1,174600,5159,5892,0
closest,800,1,791200,0,0,0
mergesort,800,2,318800,7599,3064,6
quicksort,800,2,212300,8770,5067,4
select,800,2,68900,5901,6760,0
closest,800,2,1103400,0,0,0
mergesort,800,3,222400,7543,2964,6
quicksort,800,3,198500,8401,5410,4
select,800,3,66100,5637,6451,0
closest,800,3,962900,0,0,0
mergesort,900,1,195000,8949,3803,6
quicksort,900,1,159700,9439,6192,4
select,900,1,58000,6446,7301,0
closest,900,1,798500,0,0,0
mergesort,900,2,193800,8820,3681,6
quicksort,900,2,170700,9829,6640,4
select,900,2,49700,6310,7214,0
closest,900,2,833700,0,0,0
mergesort,900,3,92000,9012,3853,6
quicksort,900,3,70100,10040,6819,4
select,900,3,40200,6413,7305,0
closest,900,3,602700,0,0,0
mergesort,1000,1,56400,10343,4578,6
quicksort,1000,1,63600,11372,7563,5
select,1000,1,61400,7207,8202,0
closest,1000,1,1066600,0,0,0
mergesort,1000,2,57800,10363,4636,6
quicksort,1000,2,70000,12481,7452,4
select,1000,2,44800,7258,8282,0
closest,1000,2,785100,0,0,0
mergesort,1000,3,57000,10201,4466,6
quicksort,1000,3,63500,11609,7698,5
select,1000,3,47800,7228,8236,0
closest,1000,3,957100,0,0,0
